City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,avera,33.194,-82.5271,283.46,57,96,1.67,US,1675823000
260,nedjo,9.5046,35.5019,287.41,42,6,1.31,ET,1675823327
261,bweyogerere,0.3558,32.6672,293.01,91,74,0.3,UG,1675823328
262,te anau,-45.4167,167.7167,287.54,46,50,5.28,NZ,1675823238
263,huarmey,-10.0681,-78.1522,295.62,83,6,2.67,PE,1675823003
264,viedma,-40.8135,-62.9967,292.55,64,11,3.86,AR,1675823331
265,shitanjing,39.2342,106.3439,271.22,42,100,3.07,CN,1675823332
266,goderich,43.7501,-81.7165,275.33,87,100,5.14,CA,1675823223
267,dingle,10.9995,122.6711,299.79,78,100,5.64,PH,1675823334
268,jinka,5.65,36.65,291.69,35,0,0.94,ET,1675823335
269,kavaratti,10.5669,72.642,299.67,71,97,5.15,IN,1675823337
270,portland,45.5234,-122.6762,282.2,86,20,4.12,US,1675822887
271,kupang,-10.1667,123.5833,303.47,79,20,4.63,ID,1675823339
272,warwick,41.7001,-71.4162,276.43,80,100,4.12,US,1675823159
273,gravelbourg,49.8834,-106.5512,273.3,89,100,3.17,CA,1675823341
274,jeremoabo,-10.075,-38.4808,295.38,75,100,3.58,BR,1675823343
275,adrar,20.5022,-10.0711,288.69,23,100,4.91,MR,1675823346
276,the valley,18.217,-63.0578,298.2,76,0,8.78,AI,1675823200
277,mocuba,-16.8392,36.9856,295.03,95,99,1.61,MZ,1675823352
278,shwebo,22.5667,95.7,293.77,34,0,1.69,MM,1675823355
279,lazaro cardenas,17.9583,-102.2,296.92,79,0,1.83,MX,1675823356
280,antofagasta,-23.65,-70.4,294.75,81,100,1.99,CL,1675823358
281,griffith,41.5284,-87.4237,275.31,85,0,3.6,US,1675823360
282,mayor pablo lagerenza,-19.9309,-60.7718,297.4,81,100,2.03,PY,1675823046
283,yatou,37.15,122.3833,276.82,51,83,5.73,CN,1675823362
284,mount gambier,-37.8333,140.7667,295.63,44,18,4.76,AU,1675823364
285,muyezerskiy,63.9333,31.65,271.79,97,100,3.51,RU,1675823352
286,birao,10.2849,22.7882,295.5,17,12,5.48,CF,1675823367
287,lapeer,43.0514,-83.3188,276.15,75,100,3.09,US,1675823368
288,pingliang,35.5392,106.6861,273.97,96,100,1.94,CN,1675823369
289,ojuelos de jalisco,21.8667,-101.5833,289.04,22,96,2.49,MX,1675823371
290,sisimiut,66.9395,-53.6735,247.58,93,100,2.15,GL,1675823372
291,margate,51.3813,1.3862,277.45,67,89,1.15,GB,1675823373
292,yeppoon,-23.1333,150.7333,301.03,65,99,9.33,AU,1675823375
293,arica,-18.475,-70.3042,296.9,73,0,1.54,CL,1675823252
294,luderitz,-26.6481,15.1594,291.62,83,27,8.47,NA,1675823378
295,ambatofinandrahana,-20.55,46.8,287.1,95,96,1.71,MG,1675823379
296,lagoa,39.05,-27.9833,286.33,56,100,6.4,PT,1675823380
297,otane,-39.8833,176.6333,298.16,44,60,4.03,NZ,1675823381
298,nome,64.5011,-165.4064,251.19,77,0,0.0,US,1675822610
299,port shepstone,-30.7414,30.455,296.77,82,100,7.83,ZA,1675823025
300,saint-augustin,51.226,-58.6502,253.55,86,17,2.3,CA,1675822798
301,coroata,-4.13,-44.1242,295.22,99,100,1.41,BR,1675823386
302,faya,18.3851,42.4509,284.21,61,4,1.26,SA,1675823387
303,kichera,55.9375,110.0997,256.37,84,67,1.12,RU,1675823388
304,kropotkin,45.4375,40.5756,267.2,93,100,6.47,RU,1675823389
305,kasama,-10.2129,31.1808,289.15,98,100,1.35,ZM,1675823390
306,kalmunai,7.4167,81.8167,298.64,85,100,3.63,LK,1675823391
307,nanortalik,60.1432,-45.2371,257.96,73,10,8.85,GL,1675823392
308,pushkino,56.0172,37.8667,266.31,96,59,2.65,RU,1675823394
309,vieques,18.425,-65.8329,298.21,88,40,2.57,PR,1675823395
310,jizan,17.3333,42.6667,296.67,75,3,2.1,SA,1675823396
311,polunochnoye,60.8697,60.4153,256.47,91,100,2.01,RU,1675823397
312,northam,51.0333,-4.2167,276.82,93,0,2.82,GB,1675823398
313,dunedin,-45.8742,170.5036,289.03,46,61,7.65,NZ,1675822874
314,bredy,52.4153,60.3411,253.23,100,100,3.06,RU,1675823400
315,palmer,42.1584,-72.3287,274.18,79,100,3.09,US,1675822582
316,verkhnevilyuysk,63.4453,120.3167,237.88,96,100,0.24,RU,1675823407
317,bacolod,10.6667,122.95,301.69,66,100,5.88,PH,1675823409
318,flinders,-34.5833,150.8552,294.92,90,100,0.89,AU,1675823412
319,kurumkan,54.3,110.3,254.32,89,98,1.19,RU,1675823397
320,buala,-8.145,159.5921,300.66,85,90,3.44,SB,1675823415
321,shanghai,31.2222,121.4581,283.11,69,75,4.0,CN,1675823163
322,narsaq,60.9167,-46.05,253.27,63,0,3.6,GL,1675822856
323,pangnirtung,66.1451,-65.7125,239.38,84,6,2.35,CA,1675823056
324,guarapari,-20.6667,-40.4975,298.09,92,100,3.17,BR,1675823285
325,serov,59.6033,60.5787,254.18,94,60,2.1,RU,1675823300
326,smithers,54.7804,-127.1743,270.33,93,75,3.09,CA,1675823425
327,merauke,-8.4667,140.3333,301.11,81,84,6.95,ID,1675823427
328,tommot,58.9564,126.2925,246.8,90,100,1.7,RU,1675823429
329,guadalupe y calvo,26.1,-106.9667,276.78,48,70,1.59,MX,1675823430
330,fairbanks,64.8378,-147.7164,259.04,80,100,0.0,US,1675823260
331,ulladulla,-35.35,150.4667,293.21,81,100,1.34,AU,1675823434
332,port hueneme,34.1478,-119.1951,289.7,53,0,3.09,US,1675823437
333,bahia blanca,-38.7196,-62.2724,299.98,60,0,5.66,AR,1675823351
334,suntar,62.1444,117.6319,241.55,96,100,1.05,RU,1675823222
335,yar-sale,66.8333,70.8333,258.88,83,100,9.74,RU,1675823443
336,chicama,-7.8447,-79.1469,295.45,75,53,2.1,PE,1675823444
337,mnogovershinnyy,53.9353,139.9242,247.87,83,79,1.02,RU,1675823445
338,champerico,14.3,-91.9167,298.76,71,6,2.16,GT,1675823447
339,acopiara,-6.0953,-39.4525,294.85,52,86,0.57,BR,1675823448
340,vila franca do campo,37.7167,-25.4333,285.38,78,92,4.52,PT,1675823449
341,constitucion,-35.3333,-72.4167,288.66,69,0,4.34,CL,1675823450
342,aklavik,68.2191,-135.0107,244.08,95,100,3.57,CA,1675823036
343,broome,42.2506,-75.833,277.29,77,75,4.92,US,1675823452
344,karatuzskoye,53.6072,92.8667,263.68,95,100,2.23,RU,1675823453
345,iguape,-24.7081,-47.5553,296.58,86,52,2.42,BR,1675823455
346,sussex,41.1834,-74.6663,277.22,79,100,1.54,US,1675823446
347,port blair,11.6667,92.75,300.17,74,40,4.63,IN,1675823457
